adc a,(hl)  ; 8E
set 0,(iy+DIS),l ; FD CB DIS C5
set 0,a   ; CB C7
set 0,b   ; CB C0
set 0,c   ; CB C1
set 0,d   ; CB C2
set 0,e   ; CB C3
set 0,h   ; CB C4
set 0,l   ; CB C5
set 1,(hl)  ; CB CE
set 1,(ix+DIS) ; DD CB DIS CE
set 1,(ix+DIS),a ; DD CB DIS CF
set 1,(ix+DIS),b ; DD CB DIS C8
set 1,(ix+DIS),c ; DD CB DIS C9
set 1,(ix+DIS),d ; DD CB DIS CA
set 1,(ix+DIS),e ; DD CB DIS CB
set 1,(ix+DIS),h ; DD CB DIS CC
set 1,(ix+DIS),l ; DD CB DIS CD
set 1,(iy+DIS) ; FD CB DIS CE
set 1,(iy+DIS),a ; FD CB DIS CF
set 1,(iy+DIS),b ; FD CB DIS C8
set 1,(iy+DIS),c ; FD CB DIS C9
set 1,(iy+DIS),d ; FD CB DIS CA
set 1,(iy+DIS),e ; FD CB DIS CB
set 1,(iy+DIS),h ; FD CB DIS CC
set 1,(iy+DIS),l ; FD CB DIS CD
set 1,a   ; CB CF
set 1,b   ; CB C8
set 1,c   ; CB C9
set 1,d   ; CB CA
set 1,e   ; CB CB
set 1,h   ; CB CC
set 1,l   ; CB CD
set 2,(hl)  ; CB D6
set 2,(ix+DIS) ; DD CB DIS D6
set 2,(ix+DIS),a ; DD CB DIS D7
set 2,(ix+DIS),b ; DD CB DIS D0
set 2,(ix+DIS),c ; DD CB DIS D1
set 2,(ix+DIS),d ; DD CB DIS D2
set 2,(ix+DIS),e ; DD CB DIS D3
set 2,(ix+DIS),h ; DD CB DIS D4
set 2,(ix+DIS),l ; DD CB DIS D5
set 2,(iy+DIS) ; FD CB DIS D6
set 2,(iy+DIS),a ; FD CB DIS D7
set 2,(iy+DIS),b ; FD CB DIS D0
set 2,(iy+DIS),c ; FD CB DIS D1
set 2,(iy+DIS),d ; FD CB DIS D2
set 2,(iy+DIS),e ; FD CB DIS D3
set 2,(iy+DIS),h ; FD CB DIS D4
set 2,(iy+DIS),l ; FD CB DIS D5
set 2,a   ; CB D7
set 2,b   ; CB D0
set 2,c   ; CB D1
set 2,d   ; CB D2
set 2,e   ; CB D3
set 2,h   ; CB D4
set 2,l   ; CB D5
set 3,(hl)  ; CB DE
set 3,(ix+DIS) ; DD CB DIS DE
set 3,(ix+DIS),a ; DD CB DIS DF
set 3,(ix+DIS),b ; DD CB DIS D8
set 3,(ix+DIS),c ; DD CB DIS D9
set 3,(ix+DIS),d ; DD CB DIS DA
set 3,(ix+DIS),e ; DD CB DIS DB
set 3,(ix+DIS),h ; DD CB DIS DC
set 3,(ix+DIS),l ; DD CB DIS DD
set 3,(iy+DIS) ; FD CB DIS DE
set 3,(iy+DIS),a ; FD CB DIS DF
set 3,(iy+DIS),b ; FD CB DIS D8
set 3,(iy+DIS),c ; FD CB DIS D9
set 3,(iy+DIS),d ; FD CB DIS DA
set 3,(iy+DIS),e ; FD CB DIS DB
set 3,(iy+DIS),h ; FD CB DIS DC
set 3,(iy+DIS),l ; FD CB DIS DD
set 3,a   ; CB DF
set 3,b   ; CB D8
set 3,c   ; CB D9
set 3,d   ; CB DA
set 3,e   ; CB DB
set 3,h   ; CB DC
set 3,l   ; CB DD
set 4,(hl)  ; CB E6
set 4,(ix+DIS) ; DD CB DIS E6
set 4,(ix+DIS),a ; DD CB DIS E7
set 4,(ix+DIS),b ; DD CB DIS E0
set 4,(ix+DIS),c ; DD CB DIS E1
set 4,(ix+DIS),d ; DD CB DIS E2
set 4,(ix+DIS),e ; DD CB DIS E3
set 4,(ix+DIS),h ; DD CB DIS E4
set 4,(ix+DIS),l ; DD CB DIS E5
set 4,(iy+DIS) ; FD CB DIS E6
set 4,(iy+DIS),a ; FD CB DIS E7
set 4,(iy+DIS),b ; FD CB DIS E0
set 4,(iy+DIS),c ; FD CB DIS E1
set 4,(iy+DIS),d ; FD CB DIS E2
set 4,(iy+DIS),e ; FD CB DIS E3
set 4,(iy+DIS),h ; FD CB DIS E4
set 4,(iy+DIS),l ; FD CB DIS E5
set 4,a   ; CB E7
set 4,b   ; CB E0
set 4,c   ; CB E1
set 4,d   ; CB E2
set 4,e   ; CB E3
set 4,h   ; CB E4
set 4,l   ; CB E5
set 5,(hl)  ; CB EE
set 5,(ix+DIS) ; DD CB DIS EE
set 5,(ix+DIS),a ; DD CB DIS EF
set 5,(ix+DIS),b ; DD CB DIS E8
set 5,(ix+DIS),c ; DD CB DIS E9
set 5,(ix+DIS),d ; DD CB DIS EA
set 5,(ix+DIS),e ; DD CB DIS EB
set 5,(ix+DIS),h ; DD CB DIS EC
set 5,(ix+DIS),l ; DD CB DIS ED
set 5,(iy+DIS) ; FD CB DIS EE
set 5,(iy+DIS),a ; FD CB DIS EF
set 5,(iy+DIS),b ; FD CB DIS E8
set 5,(iy+DIS),c ; FD CB DIS E9
set 5,(iy+DIS),d ; FD CB DIS EA
set 5,(iy+DIS),e ; FD CB DIS EB
set 5,(iy+DIS),h ; FD CB DIS EC
set 5,(iy+DIS),l ; FD CB DIS ED
set 5,a   ; CB EF
set 5,b   ; CB E8
set 5,c   ; CB E9
set 5,d   ; CB EA
set 5,e   ; CB EB
set 5,h   ; CB EC
set 5,l   ; CB ED
set 6,(hl)  ; CB F6
set 6,(ix+DIS) ; DD CB DIS F6
set 6,(ix+DIS),a ; DD CB DIS F7
set 6,(ix+DIS),b ; DD CB DIS F0
set 6,(ix+DIS),c ; DD CB DIS F1
set 6,(ix+DIS),d ; DD CB DIS F2
set 6,(ix+DIS),e ; DD CB DIS F3
set 6,(ix+DIS),h ; DD CB DIS F4
set 6,(ix+DIS),l ; DD CB DIS F5
set 6,(iy+DIS) ; FD CB DIS F6
set 6,(iy+DIS),a ; FD CB DIS F7
set 6,(iy+DIS),b ; FD CB DIS F0
set 6,(iy+DIS),c ; FD CB DIS F1
set 6,(iy+DIS),d ; FD CB DIS F2
set 6,(iy+DIS),e ; FD CB DIS F3
set 6,(iy+DIS),h ; FD CB DIS F4
set 6,(iy+DIS),l ; FD CB DIS F5
set 6,a   ; CB F7
set 6,b   ; CB F0
set 6,c   ; CB F1
set 6,d   ; CB F2
set 6,e   ; CB F3
set 6,h   ; CB F4
set 6,l   ; CB F5
set 7,(hl)  ; CB FE
set 7,(ix+DIS) ; DD CB DIS FE
set 7,(ix+DIS),a ; DD CB DIS FF
set 7,(ix+DIS),b ; DD CB DIS F8
set 7,(ix+DIS),c ; DD CB DIS F9
set 7,(ix+DIS),d ; DD CB DIS FA
set 7,(ix+DIS),e ; DD CB DIS FB
set 7,(ix+DIS),h ; DD CB DIS FC
set 7,(ix+DIS),l ; DD CB DIS FD
set 7,(iy+DIS) ; FD CB DIS FE
set 7,(iy+DIS),a ; FD CB DIS FF
set 7,(iy+DIS),b ; FD CB DIS F8
set 7,(iy+DIS),c ; FD CB DIS F9
set 7,(iy+DIS),d ; FD CB DIS FA
set 7,(iy+DIS),e ; FD CB DIS FB
set 7,(iy+DIS),h ; FD CB DIS FC
set 7,(iy+DIS),l ; FD CB DIS FD
set 7,a   ; CB FF
set 7,b   ; CB F8
set 7,c   ; CB F9
set 7,d   ; CB FA
set 7,e   ; CB FB
set 7,h   ; CB FC
set 7,l   ; CB FD
sla (hl)  ; CB 26
sla (ix+DIS) ; DD CB DIS 26
sla (ix+DIS),a ; DD CB DIS 27
sla (ix+DIS),b ; DD CB DIS 20
sla (ix+DIS),c ; DD CB DIS 21
sla (ix+DIS),d ; DD CB DIS 22
sla (ix+DIS),e ; DD CB DIS 23
sla (ix+DIS),h ; DD CB DIS 24
sla (ix+DIS),l ; DD CB DIS 25
sla (iy+DIS) ; FD CB DIS 26
sla (iy+DIS),a ; FD CB DIS 27
sla (iy+DIS),b ; FD CB DIS 20
sla (iy+DIS),c ; FD CB DIS 21
sla (iy+DIS),d ; FD CB DIS 22
sla (iy+DIS),e ; FD CB DIS 23
sla (iy+DIS),h ; FD CB DIS 24
sla (iy+DIS),l ; FD CB DIS 25
sla a   ; CB 27
sla b   ; CB 20
sla c   ; CB 21
sla d   ; CB 22
sla e   ; CB 23
sla h   ; CB 24
sla hl  ; 29
sla l   ; CB 25
sll (hl)  ; CB 36
sll (ix+DIS) ; DD CB DIS 36
sll (ix+DIS),a ; DD CB DIS 37
sll (ix+DIS),b ; DD CB DIS 30
sll (ix+DIS),c ; DD CB DIS 31
sll (ix+DIS),d ; DD CB DIS 32
sll (ix+DIS),e ; DD CB DIS 33
sll (ix+DIS),h ; DD CB DIS 34
sll (ix+DIS),l ; DD CB DIS 35
sll (iy+DIS) ; FD CB DIS 36
sll (iy+DIS),a ; FD CB DIS 37
sll (iy+DIS),b ; FD CB DIS 30
sll (iy+DIS),c ; FD CB DIS 31
sll (iy+DIS),d ; FD CB DIS 32
sll (iy+DIS),e ; FD CB DIS 33
sll (iy+DIS),h ; FD CB DIS 34
sll (iy+DIS),l ; FD CB DIS 35
sll a   ; CB 37
sll b   ; CB 30
sll c   ; CB 31
sll d   ; CB 32
sll e   ; CB 33
sll h   ; CB 34
sll l   ; CB 35
sra (hl)  ; CB 2E
sra (ix+DIS) ; DD CB DIS 2E
sra (ix+DIS),a ; DD CB DIS 2F
sra (ix+DIS),b ; DD CB DIS 28
sra (ix+DIS),c ; DD CB DIS 29
sra (ix+DIS),d ; DD CB DIS 2A
sra (ix+DIS),e ; DD CB DIS 2B
sra (ix+DIS),h ; DD CB DIS 2C
sra (ix+DIS),l ; DD CB DIS 2D
sra (iy+DIS) ; FD CB DIS 2E
sra (iy+DIS),a ; FD CB DIS 2F
sra (iy+DIS),b ; FD CB DIS 28
sra (iy+DIS),c ; FD CB DIS 29
sra (iy+DIS),d ; FD CB DIS 2A
sra (iy+DIS),e ; FD CB DIS 2B
sra (iy+DIS),h ; FD CB DIS 2C
sra (iy+DIS),l ; FD CB DIS 2D
sra a   ; CB 2F
sra b   ; CB 28
sra c   ; CB 29
sra d   ; CB 2A
sra e   ; CB 2B
sra h   ; CB 2C
sra l   ; CB 2D
srl (hl)  ; CB 3E
srl (ix+DIS) ; DD CB DIS 3E
srl (ix+DIS),a ; DD CB DIS 3F
srl (ix+DIS),b ; DD CB DIS 38
srl (ix+DIS),c ; DD CB DIS 39
srl (ix+DIS),d ; DD CB DIS 3A
srl (ix+DIS),e ; DD CB DIS 3B
srl (ix+DIS),h ; DD CB DIS 3C
srl (ix+DIS),l ; DD CB DIS 3D
srl (iy+DIS) ; FD CB DIS 3E
srl (iy+DIS),a ; FD CB DIS 3F
srl (iy+DIS),b ; FD CB DIS 38
srl (iy+DIS),c ; FD CB DIS 39
srl (iy+DIS),d ; FD CB DIS 3A
srl (iy+DIS),e ; FD CB DIS 3B
srl (iy+DIS),h ; FD CB DIS 3C
srl (iy+DIS),l ; FD CB DIS 3D
srl a   ; CB 3F
srl b   ; CB 38
srl c   ; CB 39
srl d   ; CB 3A
srl e   ; CB 3B
srl h   ; CB 3C
srl l   ; CB 3D
sub (hl)  ; 96
sub (ix+DIS) ; DD 96 DIS
sub (iy+DIS) ; FD 96 DIS
sub N   ; D6 N
sub a   ; 97
sub b   ; 90
sub c   ; 91
sub d   ; 92
sub e   ; 93
sub h   ; 94
sub ixh   ; DD 94
sub ixl   ; DD 95
sub iyh   ; FD 94
sub iyl   ; FD 95
sub l   ; 95
xor (hl)  ; AE
xor (ix+DIS) ; DD AE DIS
xor (iy+DIS) ; FD AE DIS
xor N   ; EE N
xor a   ; AF
xor b   ; A8
xor c   ; A9
xor d   ; AA
xor e   ; AB
xor h   ; AC
xor ixh   ; DD AC
xor ixl   ; DD AD
xor iyh   ; FD AC
xor iyl   ; FD AD
xor l   ; AD
